"","nuts","cookie.type","length","width","red.icing","blue.icing","topping.1","topping.2","longitude","latitude","Owner","Address","PrimeType","SecondType","GarOrLot","RegCap","ValetCap","MCCap","LANDUSETYP"
"1120",FALSE,"cookie.cake",1.9,1,FALSE,FALSE,"Reese's Piece",NA,-122.420984,37.743105,"Private","3349 Mission St","CPO"," ","L",7,0,0,"restaurant"
"1059",FALSE,"brownie",3,1,FALSE,FALSE,"Reese's Piece",NA,-122.413008,37.78934,"Private","975 Bush St","CPO"," ","G",21,0,0,"hotel"
"563",TRUE,"cookie.cake",3,1,FALSE,FALSE,"cherry",NA,-122.419864,37.783151,"City College","750 Eddy St","PHO"," ","L",21,0,0," "
"495",FALSE,"brownie",4.4,1,TRUE,FALSE,"jam","cherry",-122.418755,37.777549,"Private","150 Hayes St","PPA","PHO","G",64,20,0," "
"522",TRUE,"cookie.cake",4.1,1,FALSE,FALSE,"Oreo",NA,-122.397314,37.729699,"SFPD","201 Williams Ave","CGO"," ","L",60,0,0," "
"291",FALSE,"cookie.cake",5.6,1,FALSE,FALSE,"jam",NA,-122.392448,37.790241,"Private","235 MAIN ST","PPA"," ","L",260,0,0," "
"756",FALSE,"cookie.cake",2.6,1,FALSE,FALSE,"cherry",NA,-122.419162,37.766861,"Private","1580 15th St","PHO"," ","L",14,0,0," "
"142",FALSE,"cookie.cake",6,1,FALSE,FALSE,"jam",NA,-122.401683,37.804874,"Private","40 Pier Twentyseven","PPA"," ","L",400,0,0," "
"1371",TRUE,"cookie.cake",6.7,1,FALSE,FALSE,"marshmallow",NA,-122.457428,37.801249,"Presidio","104 P-Montgomery St","FPA"," ","L",843,0,0," "
"248",FALSE,"cookie.cake",3,1,FALSE,FALSE,"jam",NA,-122.433611,37.75098,"Private","1333 CASTRO ST","PPA"," ","L",21,0,0," "
"1113",FALSE,"cookie.cake",1.8,1,FALSE,FALSE,"Reese's Piece",NA,-122.399514,37.77548,"Private","651 BRANNAN ST","CPO"," ","L",6,0,0,"retail"
"835",TRUE,"cookie.cake",6,1,FALSE,FALSE,"cherry",NA,-122.481526,37.726324,"SFSU","20 N State Dr","PHO"," ","L",420,0,0," "
"1256",FALSE,"cookie.cake",3,1,FALSE,FALSE,"Reese's Piece",NA,-122.459573,37.724842,"Private","1690 Ocean Ave","CPO"," ","L",20,0,0,"retail"
"1222",FALSE,"cookie.cake",1.9,1,FALSE,FALSE,"Reese's Piece",NA,-122.418165,37.771023,"Private","154 South Van Ness Ave","CPO"," ","L",7,0,0,"retail"
"1373",TRUE,"cookie.cake",3.4,1,FALSE,FALSE,"marshmallow",NA,-122.475156,37.80397,"Presidio","11 Ralston Ave","FPA"," ","L",31,0,0," "
"1240",FALSE,"cookie.cake",3.2,1,FALSE,FALSE,"Reese's Piece",NA,-122.411714,37.734388,"Private","1140 Crescent Ave","CPO"," ","L",25,0,0,"retail"
"1216",FALSE,"cookie.cake",1.6,1,FALSE,FALSE,"Reese's Piece",NA,-122.481764,37.754156,"Private","1700 Noriega St","CPO"," ","L",5,0,0,"automotive"
"288",FALSE,"brownie",5.6,1,FALSE,FALSE,"jam",NA,-122.402847,37.770388,"Private","675 TOWNSEND ST","PPA"," ","G",266,0,0," "
"480",FALSE,"cookie.cake",3,1,FALSE,FALSE,"jam",NA,-122.419715,37.785636,"Private","999 POLK ST","PPA"," ","L",20,0,0," "
"1078",FALSE,"cookie.cake",2.3,1,FALSE,FALSE,"Reese's Piece",NA,-122.450047,37.709806,"Private","5750 Mission St","CPO"," ","L",10,0,0,"service"
"235",FALSE,"cookie.cake",4.2,1,FALSE,FALSE,"jam",NA,-122.40407,37.797916,"Private","425 BROADWAY","PPA"," ","L",70,0,0," "
"118",FALSE,"cookie.cake",3,1,FALSE,FALSE,"jam",NA,-122.411232,37.777636,"Private","655 MINNA ST","PPA"," ","L",20,0,0," "
"194",FALSE,"cookie.cake",2.9,1,FALSE,FALSE,"jam",NA,-122.409371,37.799588,"Private","626 GREEN ST","PPA"," ","L",18,0,0," "
"252",FALSE,"cookie.cake",4.1,1,FALSE,FALSE,"jam",NA,-122.397325,37.782317,"Private","400 03rd ST","PPA"," ","L",60,0,0," "
"670",FALSE,"cookie.cake",2.5,1,FALSE,FALSE,"cherry",NA,-122.393633,37.779369,"Private","640 03rd St","PHO"," ","L",12,0,0," "
"969",FALSE,"cookie.cake",2.5,1,FALSE,FALSE,"Reese's Piece",NA,-122.399477,37.775509,"Private","649 Brannan St","CPO"," ","L",12,0,0,"retail"
"1209",FALSE,"cookie.cake",3.9,1,FALSE,FALSE,"Reese's Piece",NA,-122.414239,37.747934,"Private","3215 Cesar Chavez St","CPO"," ","L",48,0,0,"religious"
"1205",FALSE,"cookie.cake",3.2,1,FALSE,FALSE,"Reese's Piece",NA,-122.425658,37.764423,"Private","3281 16th St","CPO"," ","L",25,0,0,"religious"
"1173",TRUE,"cookie.cake",3.2,1,FALSE,FALSE,"Reese's Piece",NA,-122.416427,37.764918,"SFDPH","240 Shotwell St","CPO"," ","L",24,0,0,"medical"
"243",FALSE,"brownie",5.9,1,TRUE,FALSE,"jam",NA,-122.400801,37.788339,"Private","125 STEVENSON ST","PPA"," ","G",180,175,0," "
"728",FALSE,"cookie.cake",2.8,1,FALSE,FALSE,"cherry",NA,-122.495557,37.749414,"Private","2001 37th Ave","PHO"," ","L",17,0,0," "
"1190",FALSE,"cookie.cake",3.6,1,FALSE,FALSE,"Reese's Piece",NA,-122.502821,37.735628,"Private","2700 Sloat Blvd","CPO"," ","L",35,0,0,"retail"
"331",FALSE,"brownie",4.1,1,FALSE,FALSE,"jam",NA,-122.396118,37.783647,"Private","642 HARRISON ST","PPA"," ","G",60,0,0," "
"175",FALSE,"brownie",5.3,1,FALSE,FALSE,"jam",NA,-122.401512,37.794553,"Private","475 SANSOME ST","PPA"," ","G",210,0,0," "
"1128",TRUE,"cookie.cake",5,1,FALSE,FALSE,"Reese's Piece",NA,-122.459219,37.790462,"Presidio","51 P-Arguello Blvd","CPO"," ","L",148,0,0,"entertainment"
"116",FALSE,"cookie.cake",3.1,1,FALSE,FALSE,"jam",NA,-122.409083,37.799204,"Private","611 Green St","PPA"," ","L",22,0,0," "
"1296",FALSE,"cookie.cake",2.1,1,FALSE,FALSE,"Reese's Piece",NA,-122.430998,37.765395,"Private","2201 Market St","CPO"," ","L",8,0,0,"retail"
"1189",FALSE,"cookie.cake",3.7,1,FALSE,FALSE,"Reese's Piece",NA,-122.392068,37.795281,"Private","92 The Embarcadero","CPO"," ","L",42,0,0,"restaurant"
"976",TRUE,"cookie.cake",4.6,1,FALSE,FALSE,"Reese's Piece",NA,-122.429329,37.803745,"GGNRA","1368 Bay St","CPO"," ","L",100,0,0,"entertainment"
"834",FALSE,"cookie.cake",3.4,1,FALSE,FALSE,"cherry",NA,-122.498264,37.739683,"Private","2550 41st Ave","PHO"," ","L",30,0,0," "
"320",FALSE,"brownie",4.7,1,TRUE,FALSE,"jam",NA,-122.399682,37.788311,"Private","85 02ND ST","PPA"," ","G",60,45,0," "
"1011",FALSE,"cookie.cake",3.6,1,FALSE,FALSE,"Reese's Piece",NA,-122.433788,37.799192,"Private","3100 WEBSTER ST","CPO"," ","L",37,0,0,"hotel"
"1379",TRUE,"cookie.cake",3.8,1,FALSE,FALSE,"marshmallow",NA,-122.453235,37.803745,"Presidio","298 Gorgas Ave","FPA"," ","L",44,0,0," "
"415",FALSE,"brownie",4.3,1,FALSE,FALSE,"jam",NA,-122.42142,37.794279,"Private","1600 JACKSON ST","PPA"," ","G",74,0,0," "
"710",TRUE,"cookie.cake",5.3,1,FALSE,FALSE,"cherry",NA,-122.406109,37.755988,"SFGH","1001 Potrero Ave","PHO"," ","L",202,0,0," "
"603",FALSE,"cookie.cake",3.6,1,FALSE,FALSE,"cherry",NA,-122.474217,37.729387,"Private","3250 19th Ave","PHO"," ","L",36,0,0," "
"790",FALSE,"cookie.cake",3.7,1,FALSE,FALSE,"cherry",NA,-122.416603,37.76059,"Private","3254 19th St","PHO"," ","L",40,0,0," "
"1008",FALSE,"cookie.cake",5.1,1,FALSE,FALSE,"Reese's Piece",NA,-122.482646,37.713946,"Private","999 Brotherhood Way","CPO"," ","L",160,0,0,"religious"
"924",FALSE,"cookie.cake",2.6,1,FALSE,FALSE,"Reese's Piece",NA,-122.406649,37.713043,"Private","701 Rutland St","CPO"," ","L",14,0,0,"religious"
"506",FALSE,"cookie.cake",5.5,1,FALSE,FALSE,"Oreo",NA,-122.393815,37.748669,"Private","1460 Marin St","CGO"," ","L",240,0,0," "
"468",FALSE,"brownie",4.6,1,FALSE,FALSE,"jam",NA,-122.417104,37.785946,"Private","855 GEARY ST","PPA"," ","G",100,0,0," "
"1016",FALSE,"cookie.cake",2.6,1,FALSE,FALSE,"Reese's Piece",NA,-122.403997,37.728346,"Private","2626 San Bruno Ave","CPO"," ","L",14,0,0,"restaurant"
"695",FALSE,"brownie",4.2,1,FALSE,FALSE,"cherry",NA,-122.424618,37.785531,"Private","1 Peter York Way","PHO"," ","G",70,0,0," "
"1162",FALSE,"cookie.cake",2.7,1,FALSE,FALSE,"Reese's Piece",NA,-122.401777,37.76594,"Private","300 Deharo St","CPO"," ","L",15,0,0,"restaurant"
"1027",FALSE,"cookie.cake",2.1,1,FALSE,FALSE,"Reese's Piece",NA,-122.386212,37.741717,"Private","401 Newhall St","CPO"," ","L",8,0,0,"office"
"1294",FALSE,"cookie.cake",3.7,1,FALSE,FALSE,"Reese's Piece",NA,-122.393234,37.754777,"Private","902 Pennsylvania St","CPO"," ","L",40,0,0," "
"1123",FALSE,"cookie.cake",2.8,1,FALSE,FALSE,"Reese's Piece",NA,-122.416796,37.762619,"Private","659 South Van Ness","CPO"," ","L",16,0,0,"retail"
"1126",FALSE,"cookie.cake",2.5,1,FALSE,FALSE,"Reese's Piece",NA,-122.434808,37.763116,"Private","2390 Market St","CPO"," ","L",12,0,0,"retail"
"374",TRUE,"brownie",6.6,1,FALSE,FALSE,"jam",NA,-122.404358,37.791952,"SFMTA","433 Kearny Street","PPA"," ","G",700,0,0," "
"251",FALSE,"cookie.cake",4,1,FALSE,FALSE,"jam",NA,-122.405187,37.778559,"Private","301 06TH ST","PPA"," ","L",54,0,0," "
